,code,url
0,404,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/A01/Doppler/HistoricRealtime/Agg.ncml
1,404,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/B01/Doppler/HistoricRealtime/Agg.ncml
2,404,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/C02/Doppler/HistoricRealtime/Agg.ncml
3,404,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/E01/Doppler/HistoricRealtime/Agg.ncml
4,404,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/F01/Doppler/HistoricRealtime/Agg.ncml
5,404,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/I01/Doppler/HistoricRealtime/Agg.ncml
6,404,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/L01/Doppler/HistoricRealtime/Agg.ncml
7,404,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/M01/Doppler/HistoricRealtime/Agg.ncml
8,404,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/N01/Doppler/HistoricRealtime/Agg.ncml
9,503,http://sos.maracoos.org/thredds/dodsC/agg/rutgersespresso/agg.nc
10,-1,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/F01/Met/HistoricRealtime/Agg.ncml
11,-1,http://www.neracoos.org/thredds/dodsC/UMO/DSG/SOS/I01/Met/HistoricRealtime/Agg.ncml
12,404,http://thredds.axiomalaska.com/thredds/dodsC/HIRE_WEST_CONUS.nc
13,404,http://thredds.axiomalaska.com/thredds/dodsC/NAM_12_CONUS.nc
14,-1,http://thredds.axiomalaska.com/thredds/dodsC/WRF_MPH.nc
15,-1,http://tds.secoora.org/thredds/dodsC/cormp.ocp1.buoy.nc
16,-1,http://tds.secoora.org/thredds/dodsC/enp.bnkf1.met.nc
17,-1,http://tds.secoora.org/thredds/dodsC/enp.cnbf1.met.nc
18,-1,http://tds.secoora.org/thredds/dodsC/enp.cwaf1.met.nc
19,-1,http://tds.secoora.org/thredds/dodsC/enp.gbif1.met.nc
20,-1,http://tds.secoora.org/thredds/dodsC/enp.gbtf1.met.nc
21,-1,http://tds.secoora.org/thredds/dodsC/enp.hcef1.met.nc
22,-1,http://tds.secoora.org/thredds/dodsC/enp.jkyf1.met.nc
23,-1,http://tds.secoora.org/thredds/dodsC/enp.lbrf1.met.nc
24,-1,http://tds.secoora.org/thredds/dodsC/enp.lmdf1.met.nc
25,-1,http://tds.secoora.org/thredds/dodsC/enp.lrif1.met.nc
26,-1,http://tds.secoora.org/thredds/dodsC/enp.lrkf1.met.nc
27,-1,http://tds.secoora.org/thredds/dodsC/enp.pkyf1.met.nc
28,-1,http://tds.secoora.org/thredds/dodsC/enp.ppta1.met.nc
29,-1,http://tds.secoora.org/thredds/dodsC/enp.tcvf1.met.nc
30,-1,http://tds.secoora.org/thredds/dodsC/fldep.stlucieinlet..nc
31,-1,http://tds.secoora.org/thredds/dodsC/usf.apk.ngwlms.nc
32,-1,http://thredds.axiomalaska.com/thredds/dodsC/MASIE.nc
33,-1,http://thredds.axiomalaska.com/thredds/dodsC/TAMU_SWAN_PWS.nc
34,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407071200.nc
35,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407081200.nc
36,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407091200.nc
37,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407101200.nc
38,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407111200.nc
39,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407121200.nc
40,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407131200.nc
41,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407151200.nc
42,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407161200.nc
43,404,http://ecowatch.ncddc.noaa.gov/thredds/dodsC/onomads/rtofs/rtofs_surface_agg/best
44,404,http://ecowatch.ncddc.noaa.gov/thredds/dodsC/onomads/rtofs/rtofs_volume_agg/best
45,-1,http://tds.glos.us/thredds/dodsC/HECWFS-Nowcast-Agg.nc
46,-1,http://tds.glos.us/thredds/dodsC/SLRFVM-Nowcast-Agg.nc
47,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407171200.nc
48,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407181200.nc
49,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407191200.nc
50,404,http://dm2.caricoos.org/thredds/dodsC/content/swan/201407201200.nc
